Produto,Categoria,Quantidade,Venda
Espresso,Bebida,32,2.50
Cappuccino,Bebida,28,3.80
Latte,Bebida,24,4.20
 Cha Verde ,Bebida,15,2.80
Croissant,Padaria,22,3.50
Pao de Queijo,Padaria,40,1.80
Brigadeiro,Doceria,35,2.00
Pastel de Nata,Padaria,30,2.20
Bolo de Cenoura,Doceria,12,4.50
Sanduiche Natural,Lanche,14,5.80
Suco de Laranja,Bebida,18,3.20
Agua Mineral,Bebida,32,1.50
Tosta Mista,Lanche,11,4.20
Mousse de Chocolate,Doceria,18,3.80
Cookie,Doceria,26,1.80
Empada de Frango,Salgado,22,2.80
Coxinha,Salgado,30,2.50
Quiche Lorraine,Salgado,9,5.50
Capuccino Gelado,Bebida,14,4.50
Macaron,Doceria,16,2.80
Pao na Chapa,Padaria,18,3.20
Refrigerante,Bebida,28,2.80
Salada Caesar,Lanche,8,7.50
Tiramisu,Doceria,11,6.50
Frappuccino,Bebida,12,5.20
Brownie,Doceria,19, 3.20
Wrap de Frango,Lanche,9,6.50
