Produto,Categoria,Quantidade,Venda
Espresso,Bebida,18,2.50
Cappuccino,Bebida,14,3.80
Latte,bebida,9,4.20
Cha Preto,Bebida,7,2.80
Croissant,Padaria,11,3.50
Pao de Queijo,Padaria,25,1.80
Brigadeiro,Doceria,,2.00
Pastel de Nata,Padaria,16,2.20
Bolo de Fuba,Doceria,8,4.50
Sanduiche Natural,Lanche,9,5.80
Suco de Maracuja,Bebida,10,3.20
Agua Mineral,Bebida,22,1.50
Misto Quente,Lanche,6,4.20
Mousse de Maracuja,Doceria,7,3.80
Cookie de Chocolate,Doceria,19,1.80
Empada de Palmito,Salgado,12,2.80
Coxinha,Salgado,21,2.50
Esfiha de Carne,Salgado,8,2.30
Frappuccino,Bebida,5,5.20
Macaron de Pistache,Doceria,6,2.80
Pao Frances,Padaria,30,0.80
Refrigerante,bebida,18,2.80
Wrap de Frango,Lanche,4,6.50
Cheesecake,Doceria,5,5.20
