Produto,Categoria,Quantidade,Venda
Espresso,Bebida,17,2.50
Cappuccino,Bebida,13,3.80
Latte,Bebida,11,4.20
Cha Verde,Bebida,9,2.80
Croissant,Padaria,12,3.50
Pao de Queijo,Padaria,24,1.80
Brigadeiro,Doceria,20,2.00
Pastel de Nata,Padaria,15,2.20
Pastel de Nata,Padaria,15,2.20
Bolo de Chocolate,Doceria,8,4.80
Sanduiche Natural,Lanche,6,5.80
Suco de Laranja,Bebida,10,3.20
Agua Mineral,Bebida,18,1.50
,Lanche,5,4.20
Mousse de Chocolate,Doceria,12,3.80
Cookie,Doceria,17,1.80
Empada de Frango,Salgado,14,2.80
Coxinha,Salgado,16,2.50
Quiche de Alho-Poro,Salgado,5,5.50
Capuccino Gelado,Bebida,7,4.50
Macaron,Doceria,9,2.80
Pao na Chapa,Padaria,13,3.20
Refrigerante,Bebida,16,2.80
Salada Caprese,Lanche,4,7.20
