Produto,Categoria,Quantidade,Venda
Espresso,Bebida,25,2.50
Cappuccino,Bebida,20,3.80
Latte,Bebida,15,4.20
Cha Mate,Bebida,11,2.80
Croissant,Padaria,16,3.50
Pao de Queijo,Padaria,32,1.80
Brigadeiro,Doceria,28,2.00
Pastel de Nata,Padaria,22,2.20
Bolo Red Velvet,Doceria,9,5.50
Sanduiche Vegetariano,Lanche,8,5.80
Suco de Abacaxi,Bebida,12,3.20
Agua Mineral,Bebida,26,1.50
Croque Monsieur,Lanche,7,5.50
Mousse de Maracuja,Doceria,14,3.80
Cookie de Aveia,Doceria,21,1.80
Empada de Frango,Salgado,18,2.80
Coxinha,Salgado,24,2.50
Pao de Alho,Padaria,11,2.80
Cafe Gelado,Bebida,9,4.50
Macaron,Doceria,10,2.80
Pao Italiano,Padaria,8,4.20
Refrigerante,Bebida,22,2.80
Wrap Vegetariano,,6,6.20
Cheesecake de Frutas Vermelhas,Doceria,7,5.50
Cha Preto,Bebida,0,2.80
